cleaned_text,sentiment_numerical
last session day,1
shanghai also really exciting precisely skyscraper galore good tweeps china sh bj,2
recession hit veronique branquinho quit company shame,0
happy bday,2
like,2
thats great weee visitor,2
think everyone hate lol,0
soooooo wish could im school myspace completely blocked,0
within short time last clue,1
get day alright havent done anything yet leaving soon stepsister though,1
bike put holdshould known argh total bummer,0
checked didnt win,1
youre twitter tavern bore much,1
im va weekend youngest son turn tomorrowit make kinda sad getting big check twipics,0
coming socket feel like phone hole virgin thats loose,0
hot today dont like hate new timetable bad week,0
miss,0
cramp,0
guy didnt say hi answer question yesterday nice song,2
im going spiritual stagnentation exploding ego realise im great im ok,1
stupid storm river u tonight,0
dead grandpa pay attention,0
need retail therapy bad ahhhgimme money geebus,0
go sleep,1
lame go make breakfast,0
thats cool,2
hey people dont hate grounded haha im sat eating apple watching death note anime,1
huh another scarepoint coding sunday,1
look found,2
ac fan doesnt swing way sweating hot humid day,0
guess depends want jury,1
resorted eating mickey d alone,1
faux gothy chick looking sorry going camden like poppunk jimmy eat world,1
ask twitter id sun sign,1
whered go,1
watching body liesgood film,2
happy mother day mumm xoxo,2
really need put laptop start getting ready shindigbut ive missed twitterloves day,1
im sorry least friday,0
feel sorry every time im printing use like new paper,0
n rog never heard esti beat acum u tweet much,0
always forget something travel newark airport,1
left car walked home might need someone rescue petrol light flashing,1
im updating bretts phone beep really looking wedding stuff againfor next five month,1
hi agree small child running happy breaking tear,2
hope ur havin fun da club,2
miss old phone worked good dropped want new one birthday,1
think sg wonderful,2
im really sorry know wallah u feel life shittttttttt,0
happy,0
watching acoustic performance mood good friend episode miss show,1
ill oscillate one,1
im tiredand insomnia,0
thanks ennio,2
totally come get bring kelslaws house,1
seem nice youre generous know stuff,2
u dirrrrrty oh pick hawk figured needed longshot better bet car,1
almost got kitty yesterdaybut didnt work,1
reality need check school time party tonight tho im going bed night night,1
caladesi definitely nice peaceful way spend sunday got lil tan,2
still dont know would though,1
xo dang certain okay,1
change plan staying brandon papaya salad,1
dear rain suck gotta change plan tonight,0
starbucks love eff school work later,1
cried whilst watching hollyoaks need life lol,0
hi recovering party looking forward exciting bank holiday around diy shopslife cant get much bettersurely,2
terminator salvation,1
fortheloss dumbface u u wknd wanna seeeeeee ya,0
enter registration detail every time update,1
monday wont able love,2
ur cuteim fan dream little dream kiss appearance like dawson creek make flick,2
tgif righti think broke toe last night bad foot,1
oherr soon plan party saturday x,1
lamont yr young looking dude,2
hmmm wrong link ignore tweet,0
att cheated system green day ticket att,0
tracy berwick break achy breaky heart split way hallway,0
yep wish playing dubiln,2
im lady lady dont move couch direct couch go,1
yay block party youre bomb blockhead dave thanks supporting nkotb,2
th february,1
guess mom adopted kitty today month name corky,1
happy birthday snicker hope best day ever let go shopping,2
thank im working,2
lol man got hr iont woulda made wit ramen noodle tv time,1
feeling well today,0
ear hurt medicine gum,0
berland lmao know know,1
gnight shar vega,1
underwire bra sticking poking armpit,0
happy mother day,2
yes,1
cant call mitch im sweden,1
happy star war day may fourth,2
excited eat wartermelon bought day terrible sweet,1
watched marley mei cried hard,0
take antibacterial school clean hand cant go loo,1
im leaving work trying decide return sunday afternoon monday meet noon uk time deadline,1
haaawwell get class hope make,2
oooh sunshine patch sunshine gone time leave work replaced rain vent,1
skype call billie webcam dont work,1
great study time followed delicious japanese meal arty trying get back study mood,2
fml car prohibiting finding job,0
lol since got twitter little ago seems like load people setting account,1
want see david cook,2
yeh,1
learning tat scenic way din plan go town somehow herded,1
dont want anything specific want see puppy,1
yeah need fricken cell number ive tried home month he busy miss braddddddddd,0
toy story trailer premiered need computer back,1
ughh phone hp,1
hand made dan jenn sock blocker made exotic wood one called purple heart,1
yay breaking,2
bahah sadly,0
always champion league party ti awesome,2
well stay away kind surround dont happy mother day ur mom treiz,2
adel didnt reply yet wait till confirm case somebody might translated already,1
thats rough hubby knee surgery help end let u know result well keep prayer,0
might go back much earlier expected bye bye bay area,1
playin city villain wishin buddy playin,2
yep three thing good haircut ability listen value taking seriously,2
riley hacked twitter hahaha,1
big sad face bing doesnt work iphone take regular mobile live search,1
liked record soothing voice,2
man im sad school ending high school might better,1
folk thought hilarious told story saw shirt wore tonight laughter night,2
youre absoute best,2
oh god cried much watch guy bgt,1
near daily exercise starting show result,1
welcome,2
bout hit pmark make one final meal wit housemate,1
get go home go work,1
voted cmtcom,1
got home nice party tired yet,2
sunburn,0
job nice day better,2
wish could go bea weekend,2
rupert grint boy ive accepted tht fancy im certain doesnt feel worth telling,1
love book,2
ok eye doctor guy taking forever im sitting cold room myselfwhat jerk,0
im slowing tweetscuase lost phone,0
well thank phone,2
would take photo stuffed animal thats pretty funny,2
tweetdeck acting really strange hum reinstall maybe update horizon another adobe memory leak,1
tikcets ã¯â¿â½eachbut want go,2
happy mother day,2
gonna hot today today ryans last day prek cant believe ive sahm since,0
dreaming weekend awake,1
oh ive returned supermarket doom find nothing drink,0
yay missed naptime,1
dgroup saturday little bit football hour nap hour soccer basketball tsu yogurtland life good,2
set new computer min love norton ghost,2
ahhh mommie got new sheet bed comfy,2
celeste finally sleep silence,1
im im lazy thank god bank holiday,1
pretty dang tired chamber class napping,0
poop hogging shitter,0
yes im full dvr like day ago lol swear didnt dvr would never watch tv,1
happy muthaths day mom salute,2
hahaha alright,2
arent suppossed support local economy lol good congrats,2
good know thanks,2
flavor day,1
weather let morningughhada gd nite tho,1
listened condre scr got invitation watch live concert june th munich postrock,1
elo wow brings back many happy memory love bandand yes know im showing age dont care,2
thats cute picture dont get fat licking bbqs must found chop someone elses,2
oh love sunday morning like mum made scrambled egg toast,2
hate working sunnyboohoo,0
online,1
bundy day warm weather come,1
wondering cld make thing worse already answer,0
dutch marketing agency asking job applicant apply character less,1
twitter spoiled fun frustratingly slow couldnt even bid properly,0
chick haha completely agree,2
dont pack cant leave right,1
lolwhere u headed,1
going bed great night friend glad know feeling class someone else,2
many mine included ahem shld known better back wldnt missed many opportunity haha,0
nice leave office sun still,2
miss soccer mom,0
garlic pill spider bite toe lolclassic always hungry u killing funny,1
sigh ah well maybe second email clear get approved,1
missed tweet joe time difference uk dont get fave supporter uk,1
came mind said adapted family vocabulary,1
looking forward body work today,1
watched yes man bahaha movie messed,0
sadly think know exactly put itin expired drawer thing life span less two year,0
much unless one pillow end suffocating one sleeping next,0
meeting best friend first thing morning gym omg still shocked hope get better soon,1
wow fastnext soderling ferrer gilles simon lost,0
yup theory great reality beyond imagination also made planning knowing v fail,1
glad know ad display problem due firewall config yr office phew,2
woot,2
dont like monday wish sunday cause thats fun day freaking jam little miss,1
waiting last movie finish test screening ghost girlfriend past glass wine lolly bag hand yay,1
happy starwarsday may th everyone paintball,2
must head back office,1
st joe dirty,0
camping black butte lake,1
getting message add recieve soz im new,1
hate life,0
sick stomach headache wish someone could come rub temple,0
natalya gotta tell whats going id call lost phone number broke blackberry,0
thought unfair ppl n got depressed hater,0
cry real tear,0
brown holding onto one,1
panchitos burfday party tonight wish kiddo,2
back town mac crashed better,1
archie andrew thinking veronica,1
best thing life free x,2
miss mom today best friend even though gone several yr still miss dearly happy mother day,2
watching blood veoh episode love musicwishing could watch live action old enough,0
bummer,0
truth maxwell cant forget future father child,1
racoon ate bread,0
sure let mom know fabulous think almost mother day,2
inastory glad im one he baby im terrified hell think never coming back,1
launch today teacher changed plan watched stupid move tesla,0
pleasant sooo rarely time kill,2
thank ooh see youve read desert island great book,2
lol tiz good song,2
working internet shop dont think achieve goal uploading previously set time keep going,1
bought cheesecake ice cream last week thinking good sucked much im taking,0
cause frustration buddy,1
wright thank return mack jam,2
ready saddenning depressing dullful upsetting dreadful weekend,0
sorry lack tweet ive buzy new vid saturday,0
humble best going work paintball day soon fuel strip doubt,2
going bed cant take thiss longeerr maan u,0
morden richards ill see youwe get back good luck,2
thanksi really appreciate know hardest thing ever done,1
spent last hour signing yearbook ill miss guy,0
love every little thing,2
mobile stopped recieving text message stoooopid thing,0
hi simon let know done,1
amazing night favorite lady friend,2
oyler poor little woman smushed head,0
fixin clean house mom mother day,2
think people say save drama fo yo mama im sure even yo mama wouldnt wanna listen ur drama ode mother day,1
hey thats school hate place,0
got star pre wash failed rince,0
sister law left prom looked soo pretty tear around,2
follow,1
bought three book yipee who readtenbooksduringthesummer thing,1
im really bored brother went get permit stay road jk lol feel like friend abandoned except,0
goodnight,2
themoon hiya hun day dentist appointment ouchnotebook feeling sick hows,0
emily ahahha scare would work,0
need change monitor,1
know dude im rerun making jenny watch conversation lol havent online much,1
vote every day,1
waled past quad want outside fun,2
rocked home maccas signing petition big bang tour au lol,1
think food ate made sick feel good,0
eagerly anticipating twitpics,1
lot task complete today first wecloming new member canadamigos social networking site coffee,2
want stay bed day go work instead sux,0
chillen trying figure thing gettin drunk,2
yay doctor interview back doctor blood work,1
filming carnival music video reminds cherry festival used go back home ahhh memory,2
im siiiiiickkk dun feel good,0
propellerheads harddrive long got music repo back shape felt nostalgic,2
glorious sunny day london town im drama school fighting people sword protecting romantically structured face,2
feel sorry hope dnt cry nd time,0
would wish severe migrains would stop doc prescription arent working,0
full moon lovely friend family bday wish came true additiongray matter one cutest movie ever,2
life would suck without kelly clarkson,0
revising exam,1
host next logies laughed bit really,2
hi jordan im gonna ui know ur busy know ur probably tired please reschedule nc dont leave u,1
joy feel like red lea,2
id love think trek london would bit much,1
hey hey,1
think revising garden morning without sunscreen isnt best idea ive oucccccccch,0
miserable feel like im gona cry sux,0
know deliciousmiss germany like holland well used shoppin weekendslol,2
lol true maybe next year loooved siggy dont remember password mod thing cake,2
lol get watching hehe,1
hope great certainly spent enough time studying,2
btw downloaded iphone sdk,1
straighening hair going straight want bummerrr,0
need botox work lip im going change name angelina jolie thought sad though racism,0
doctor laugh oh crane patient arkham aslyum work,1
morning great day school go,2
weird mood muahaz,0
congrats photo dre,2
sanctuarysunday thanks joining sanctuarysunday follow sanctuary people keep date tweet,2
done disneyland kid knocked stopped hotel bar grabbed grey goose tonic way uppeace,2
ok lol miss hope cramp get better know painful,1
oh good review,2
mileycyrus wont let twitter keep saying twitter capacity something bird keep coming,0
im extremely hungry thing house soup dont like soup pout,0
hilarious,2
love guy standing behind,2
bout hit sackgot tomorrow happy mother day mom,2
lost dc hat,0
starting video editing first spanking movie mina added next update,1
effect podcast audio version book plus added charm banter,1
sunny synday morning nicole later usual mommy got sleep,1
browsing find everything university interior design,1
tweeted sixteen day miss ive fun though ingrid mon frakking awesome bbq today,1
visit si fr joemar dito bataan frm camiguin sum ofcmates supposed meet saturday cant luwas,1
soo excited pasadena seminarif find confermation email,2
ugh dont feel well sudden,0
want new phone ive seen much cellphone commercial,0
well test theory right arm strum got feelin ill humming new tune,0
thats cool,2
school day exited amazing premier,2
ti useful indeed esp newbie like,2
gonna go see sister mount sinai shes least another hour,1
handle tg,1
backe backe muffin,1
relaxing working mother day oh well good day hope well,2
lasttt mondayyy class,1
yup join nin access fun,2
walked work thinking sitting bellagio time wednesday,1
unfair wanna go,0
download movie good day black sexy cool movie,2
jus got back run sunset blvd cuzin tried kill leg still movin im sittin,0
